i = 000, asin( 000/128=(0.000000) ) = 0x0000000000000000 0.000000 
i = 001, asin( 001/128=(0.007812) ) = 0x3f80000aaabdde0c 0.007813
i = 002, asin( 002/128=(0.015625) ) = 0x3f90002aabdde94c 0.015626
i = 003, asin( 003/128=(0.023438) ) = 0x3f980090091d9024 0.023440
i = 004, asin( 004/128=(0.031250) ) = 0x3fa000aabde0b9c8 0.031255
i = 005, asin( 005/128=(0.039062) ) = 0x3fa4014d8ffaf8af 0.039072
i = 006, asin( 006/128=(0.046875) ) = 0x3fa8024091fdb0a9 0.046892
i = 007, asin( 007/128=(0.054688) ) = 0x3fac0393e65c2c93 0.054715
i = 008, asin( 008/128=(0.062500) ) = 0x3fb002abde953619 0.062541
i = 009, asin( 009/128=(0.070312) ) = 0x3fb203ce2b380cd3 0.070371
i = 010, asin( 010/128=(0.078125) ) = 0x3fb405390240e6fd 0.078205
i = 011, asin( 011/128=(0.085938) ) = 0x3fb606f49730ccc5 0.086044
i = 012, asin( 012/128=(0.093750) ) = 0x3fb809092913e52e 0.093888
i = 013, asin( 013/128=(0.101562) ) = 0x3fba0b7f03ba78ac 0.101738
i = 014, asin( 014/128=(0.109375) ) = 0x3fbc0e5e80f7172d 0.109594
i = 015, asin( 015/128=(0.117188) ) = 0x3fbe11b009e269b5 0.117457
i = 016, asin( 016/128=(0.125000) ) = 0x3fc00abe0c129e1e 0.125328
i = 017, asin( 017/128=(0.132812) ) = 0x3fc10ce59ba4a8c4 0.133206
i = 018, asin( 018/128=(0.140625) ) = 0x3fc20f530308cc20 0.141093
i = 019, asin( 019/128=(0.148438) ) = 0x3fc3120a9bed2f46 0.148988
i = 020, asin( 020/128=(0.156250) ) = 0x3fc41510cb011423 0.156893
i = 021, asin( 021/128=(0.164062) ) = 0x3fc5186a00ade974 0.164808
i = 022, asin( 022/128=(0.171875) ) = 0x3fc61c1ab9d55d30 0.172733
i = 023, asin( 023/128=(0.179688) ) = 0x3fc720278094cd3c 0.180669
i = 024, asin( 024/128=(0.187500) ) = 0x3fc82494ed0e78fc 0.188616
i = 025, asin( 025/128=(0.195312) ) = 0x3fc92967a638db38 0.196576
i = 026, asin( 026/128=(0.203125) ) = 0x3fca2ea462b4998e 0.204548
i = 027, asin( 027/128=(0.210938) ) = 0x3fcb344fe9a97c4d 0.212534
i = 028, asin( 028/128=(0.218750) ) = 0x3fcc3a6f13aae84b 0.220533
i = 029, asin( 029/128=(0.226562) ) = 0x3fcd4106cba45b08 0.228547
i = 030, asin( 030/128=(0.234375) ) = 0x3fce481c0fce7134 0.236576
i = 031, asin( 031/128=(0.242188) ) = 0x3fcf4fb3f2ad079b 0.244620
i = 032, asin( 032/128=(0.250000) ) = 0x3fd02be9ce0b87cd 0.252680
i = 033, asin( 033/128=(0.257812) ) = 0x3fd0b04025245ccc 0.260757
i = 034, asin( 034/128=(0.265625) ) = 0x3fd134dfa9805147 0.268852
i = 035, asin( 035/128=(0.273438) ) = 0x3fd1b9cb12545e62 0.276965
i = 036, asin( 036/128=(0.281250) ) = 0x3fd23f0523c5dc2b 0.285096
i = 037, asin( 037/128=(0.289062) ) = 0x3fd2c490af8bde81 0.293247
i = 038, asin( 038/128=(0.296875) ) = 0x3fd34a709597aab1 0.301418
i = 039, asin( 039/128=(0.304688) ) = 0x3fd3d0a7c4c4bd9c 0.309610
i = 040, asin( 040/128=(0.312500) ) = 0x3fd457393b90e2aa 0.317824
i = 041, asin( 041/128=(0.320312) ) = 0x3fd4de2808dce513 0.326059
i = 042, asin( 042/128=(0.328125) ) = 0x3fd565774cb66f02 0.334318
i = 043, asin( 043/128=(0.335938) ) = 0x3fd5ed2a392bb50f 0.342600
i = 044, asin( 044/128=(0.343750) ) = 0x3fd675441329986e 0.350907
i = 045, asin( 045/128=(0.351562) ) = 0x3fd6fdc83364f719 0.359240
i = 046, asin( 046/128=(0.359375) ) = 0x3fd786ba074fef93 0.367598
i = 047, asin( 047/128=(0.367188) ) = 0x3fd8101d121bed2d 0.375983
i = 048, asin( 048/128=(0.375000) ) = 0x3fd899f4edc962d3 0.384397
i = 049, asin( 049/128=(0.382812) ) = 0x3fd924454c462cc4 0.392839
i = 050, asin( 050/128=(0.390625) ) = 0x3fd9af11f89ba61c 0.401310
i = 051, asin( 051/128=(0.398438) ) = 0x3fda3a5ed82d9537 0.409813
i = 052, asin( 052/128=(0.406250) ) = 0x3fdac62fec0b2a92 0.418346
i = 053, asin( 053/128=(0.414062) ) = 0x3fdb5289525368ab 0.426913
i = 054, asin( 054/128=(0.421875) ) = 0x3fdbdf6f47ae6904 0.435512
i = 055, asin( 055/128=(0.429688) ) = 0x3fdc6ce628dd132c 0.444147
i = 056, asin( 056/128=(0.437500) ) = 0x3fdcfaf27460fe9f 0.452817
i = 057, asin( 057/128=(0.445312) ) = 0x3fdd8998cc3e6049 0.461523
i = 058, asin( 058/128=(0.453125) ) = 0x3fde18ddf7da106b 0.470268
i = 059, asin( 059/128=(0.460938) ) = 0x3fdea8c6e5f5e67f 0.479051
i = 060, asin( 060/128=(0.468750) ) = 0x3fdf3958aecddef4 0.487875
i = 061, asin( 061/128=(0.476562) ) = 0x3fdfca989658baaf 0.496740
i = 062, asin( 062/128=(0.484375) ) = 0x3fe02e46075785a1 0.505649
i = 063, asin( 063/128=(0.492188) ) = 0x3fe0779c5d4df4b8 0.514601
i = 064, asin( 064/128=(0.500000) ) = 0x3fe0c152382d7366 0.523599
i = 065, asin( 065/128=(0.507812) ) = 0x3fe10b6a9e43942f 0.532644
i = 066, asin( 066/128=(0.515625) ) = 0x3fe155e8b2a00052 0.541737
i = 067, asin( 067/128=(0.523438) ) = 0x3fe1a0cfb6c3e9eb 0.550880
i = 068, asin( 068/128=(0.531250) ) = 0x3fe1ec230c714a96 0.560075
i = 069, asin( 069/128=(0.539062) ) = 0x3fe237e6379cdfc7 0.569324
i = 070, asin( 070/128=(0.546875) ) = 0x3fe2841ce0862975 0.578627
i = 071, asin( 071/128=(0.554688) ) = 0x3fe2d0cad5f90e20 0.587987
i = 072, asin( 072/128=(0.562500) ) = 0x3fe31df40fbd31cd 0.597406
i = 073, asin( 073/128=(0.570312) ) = 0x3fe36b9cb13786e1 0.606886
i = 074, asin( 074/128=(0.578125) ) = 0x3fe3b9c90c43296d 0.616429
i = 075, asin( 075/128=(0.585938) ) = 0x3fe4087da4473296 0.626036
i = 076, asin( 076/128=(0.593750) ) = 0x3fe457bf318fe517 0.635711
i = 077, asin( 077/128=(0.601562) ) = 0x3fe4a792a4f26152 0.645456
i = 078, asin( 078/128=(0.609375) ) = 0x3fe4f7fd2bc2fb34 0.655272
i = 079, asin( 079/128=(0.617188) ) = 0x3fe5490434275b92 0.665163
i = 080, asin( 080/128=(0.625000) ) = 0x3fe59aad71ced00f 0.675132
